ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
70,amadi,39,8/12/2016 13:57,8/12/2016 11:49,20,6,no,Guider,---
1187,amadi,32,8/12/2016 14:18,8/12/2016 13:57,20,7,no,Guider,---
1063,amadi,28,8/12/2016 14:29,8/12/2016 14:19,20,8,no,Guider,---
680,amadi,40,8/12/2016 16:41,8/12/2016 15:50,20,9,no,Guider,---
881,amadi,37,8/12/2016 18:11,8/12/2016 17:59,20,10,no,Guider,---
681,amadi,19,8/13/2016 10:08,8/12/2016 18:44,20,11,no,Guider,---
1188,amadi,26,8/13/2016 10:38,8/13/2016 10:22,21,1,no,Guider,---
330,amadi,53,8/13/2016 11:02,8/13/2016 10:47,21,2,no,Guider,---
200,amadi,33,8/13/2016 11:29,8/13/2016 11:07,21,3,no,Guider,---
201,amadi,42,8/13/2016 11:56,8/13/2016 11:36,21,4,no,Guider,---
71,amadi,55,8/13/2016 12:25,8/13/2016 12:05,21,5,no,Guider,---
202,amadi,43,8/13/2016 12:59,8/13/2016 12:30,21,6,no,Guider,---
810,amadi,35,8/13/2016 13:51,8/13/2016 13:22,21,7,no,Guider,---
